('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         617079 function calls (591908 primitive calls) in 6.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      926    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1263    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
      426    0.000    0.000    0.002    0.000 element.py:934(__new__)
      614    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      421    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       25    0.000    0.000    0.168    0.007 {method 'read' of '_io.BufferedReader' objects}
     2439    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      621    0.000    0.000    0.004    0.000 enum.py:289(__call__)
      204    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      156    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      415    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
  227/190    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1864    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      208    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
  517/267    0.000    0.000    0.215    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      265    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
     1062    0.000    0.000    0.001    0.000 typing.py:595(_is_dunder)
  647/616    0.000    0.000    0.000    0.000 typing.py:669(__hash__)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      611    0.000    0.000    0.001    0.000 enum.py:531(__new__)
      901    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       14    0.000    0.000    0.001    0.000 enum.py:182(<setcomp>)
      426    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
     1263    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      204    0.000    0.000    0.039    0.000 sre_compile.py:598(_code)
      158    0.000    0.000    1.041    0.007 ssl.py:1060(recv_into)
      187    0.000    0.000    0.048    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
1321/1250    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      190    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
     1040    0.000    0.000    0.000    0.000 element.py:1489(get)
      384    0.000    0.000    0.001    0.000 element.py:1363(_all_strings)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
     1194    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2475    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1262    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      975    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      204    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      180    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      256    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      158    0.000    0.000    1.040    0.007 ssl.py:920(read)
      145    0.000    0.000    0.001    0.000 os.py:676(__getitem__)
      488    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      468    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
     1344    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      336    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1694    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
