('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         613439 function calls (588578 primitive calls) in 1.106 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      178    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      593    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      436    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      156    0.000    0.000    0.569    0.004 ssl.py:1120(read)
      935    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      195    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      817    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      817    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       66    0.000    0.000    0.000    0.000 element.py:2011(__init__)
     1964    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      739    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      975    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      171    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        1    0.000    0.000    0.868    0.868 financial.py:14(parse)
      279    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      199    0.000    0.000    0.000    0.000 __init__.py:83(find_spec)
      234    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      242    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      322    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      438    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      320    0.000    0.000    0.000    0.000 types.py:176(__get__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      201    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1726    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      197    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
     1260    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1374    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
     1260    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      192    0.000    0.000    0.001    0.000 element.py:274(get_text)
     1356    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      406    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      337    0.000    0.000    0.121    0.000 re.py:249(compile)
      158    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       99    0.000    0.000    0.000    0.000 typing.py:205(_collect_type_vars)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
    227/3    0.000    0.000    0.237    0.079 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      390    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      195    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      748    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
  151/150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       97    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      257    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
      279    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       80    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      150    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      226    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
    91/54    0.000    0.000    0.143    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
