Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370138 function calls (351454 primitive calls) in 2.082 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      187    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      187    0.000    0.000    0.041    0.000 sre_compile.py:598(_code)
      187    0.001    0.000    0.117    0.001 sre_compile.py:759(compile)
      187    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      187    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      187    0.001    0.000    0.074    0.000 sre_parse.py:937(parse)
      184    0.000    0.000    0.000    0.000 enum.py:801(value)
      184    0.000    0.000    0.000    0.000 types.py:176(__get__)
      181    0.000    0.000    0.000    0.000 typing.py:1017(__eq__)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      177    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      177    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    177/3    0.001    0.000    0.237    0.079 <frozen importlib._bootstrap>:664(_load_unlocked)
      175    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
      175    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      174    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      171    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      167    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      167    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
      162    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      159    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    151/1    0.000    0.000    2.082    2.082 {built-in method builtins.exec}
      150    0.004    0.000    0.004    0.000 {built-in method io.open_code}
      150    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      150    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
  150/149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      150    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      149    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      149    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      149    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    149/3    0.000    0.000    0.237    0.079 <frozen importlib._bootstrap_external>:877(exec_module)
      149    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
      127    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      121    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
  121/104    0.000    0.000    0.000    0.000 typing.py:1023(__hash__)
      118    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      114    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      112    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      101    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      100    0.000    0.000    0.000    0.000 typing.py:702(__eq__)
       99    0.000    0.000    0.000    0.000 typing.py:205(_collect_type_vars)
       98    0.000    0.000    0.001    0.000 typing.py:933(__init__)
       98    0.000    0.000    0.002    0.000 typing.py:1002(__init__)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 typing.py:514(<genexpr>)
       94    0.000    0.000    0.000    0.000 ipaddress.py:577(__int__)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       93    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       92    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       91    0.000    0.000    0.000    0.000 __init__.py:88(<lambda>)
    90/53    0.000    0.000    0.143    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       89    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       89    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
       89    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       89    0.000    0.000    0.000    0.000 typing.py:1126(<genexpr>)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       84    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       80    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       70    0.000    0.000    0.000    0.000 typing.py:1225(__eq__)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.001    0.000 typing.py:1130(copy_with)
