Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       98    0.000    0.000    0.001    0.000 typing.py:933(__init__)
       16    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
      325    0.000    0.000    0.004    0.000 {built-in method builtins.next}
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
      955    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      218    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       66    0.000    0.000    0.002    0.000 typing.py:1130(copy_with)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      184    0.000    0.000    0.000    0.000 types.py:176(__get__)
      327    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      167    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
       42    0.000    0.000    0.001    0.000 abc.py:105(__new__)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      175    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        2    0.000    0.000    0.008    0.004 models.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      474    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 response.py:162(HTTPResponse)
       31    0.000    0.000    0.000    0.000 typing.py:266(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        2    0.000    0.000    0.040    0.020 connection.py:1(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        3    0.000    0.000    0.012    0.004 request.py:1(<module>)
        2    0.000    0.000    0.006    0.003 core.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
